index:ID,name,code,status,:LABEL,业绩变动,预计净利润(元),业绩变动幅度,业绩变动原因,预告类型,上年同期净利润(元),公告日期
200019,金正大,2470,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:4,101.11万元-5,809.91万元,比上年同期下降:15%-40%。	","4101万～5810万	","-40%	～-15%		","公司预计2018年度的期间费用较去年同期仍有较大幅度上升,且政府补助较去年同期可能下降。","略减	","6835万	","2018-10-26	"
200020,庄园牧场,2910,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:2,492.8万元至2,960.2万元,同比上年下降:5%至20%。	","2493万～2960万	","-20%	～-5%		","1、报告期内,公司经营稳定,各项业务发展良好,销售收入略有增长。各项费用增长较快,尤其是新生产基地费用增加较多。2、预计本报告期非经常性损益对净利润的影响金额为120万元到140万元之间,主要是本期收到的政府补助。上年同期的金额为630万元。","略减	","3116万	","2019-10-14	"
200021,容大感光,300576,normal,企业,"预计2018年1-6月归属于上市公司股东的净利润为4,850万元至5,000万元,同比下降0.16%-3.15%。	","4850万～5000万	","-3.15%	～-0.16%		","(一)主营业务的影响2018年上半年,昌吉市人民政府收购昌吉市东热源热力有限公司与昌吉市城西热源热力有限公司的热源资产作为昌吉市应急调峰备用热源,导致公司热能销售业务下降。(二)会计处理的影响公司出于审慎原则考虑,于2017年12月对坏账计提政策进行了变更:将公司应收关联方款项组合与政府款项组合的坏账准备计提政策由不计提坏账准备变更为按账龄组合计提坏账准备,导致公司计提坏账准备金额增加。","略减	","5008万	","2018-08-11	"
200022,佳发教育,300559,normal,企业,"预计2019年1-6月归属于上市公司股东的净利润盈利:4,800万元至5,500万元,同比上年增长:50%至72%。	","4800万～5500万	","50%	～72%		","报告期内,夜景亮化照明工程市场景气,公司采取积极的销售策略,加快新产品的研发及推广应用,智慧路灯产品销量增加,使得公司主营业务收入、利润有了较大幅度的提升。","预增	","3189万	","2019-07-17	"
200023,东方环宇,603706,normal,企业,"预计2016年1-12月归属于上市公司股东的净利润同比去年增加90.00%-110.00%。	","7759万～8575万	","90%	～110%		","司2016年度业绩增长的主要原因是公司在强化和提升内部管理水平的同时优化了产品结构。相较于上年同期,2016年度公司的主导产品覆铜板实现收入有所增加,且导热材料、热塑性蜂窝材料的销售增长较快,提高了公司整体盈利水平。","预增	","4083万	","2017-01-25	"
200024,华体科技,603679,normal,企业,"预计2017年1-12月归属于上市公司股东的净利润盈利110,000万元-125,000万元,同比上年增长69.16%-92.23%。	","11.00亿～12.50亿	","69.16%	～92.23%		","(一)主营业务影响1、2017年度,公司主要产品铅、锌价格较上年度有较大幅度上升;2、2017年度,公司采选处理能力和产品产量(金属量)较2016年度均有较大幅度增长;3、公司处置两家停产的冶炼子公司导致本期亏损较上年同期有所减少。(二)非经常性损益及会计处理的影响非经常性损益及会计处理对公司业绩预增没有重大影响。(三)其他影响公司不存在其他对业绩预增构成重大影响的因素。","预增	","6.50亿	","2018-01-18	"
200025,华正新材,603186,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利约900万元-1,300万元,同比上年下降约66.00%-76.46%	","900万～1300万	","-76.46%	～-66%		","公司本次业绩预减主要是由于公司2017年度处置金属制品相关资产实现收益所致,影响金额为8,985.80万元。","预减	","3823万	","2019-01-29	"
200026,西藏珠峰,600338,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润盈利:800万元-1,500万元。	","800万～1500万	","113.5%	～125.31%		","2019年度公司持续在市场开拓、品质提升、技术增强、成本管控四方面强化,提质增效,预计全年较上年同期将实现扭亏为盈。上述经营业绩的预计是公司财务部门初步测算的结果,2019年度经营业绩的具体数据,将在公司2019年年度报告中详细披露。敬请广大投资者注意投资风险。","扭亏	","-5926万	","2019-10-30	"
200027,新日恒力,600165,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利5,894.33万元至6,549.26万元,同比上年下降0%至10%。	","5894万～6549万	","-10%	～0%		","公司2018年度预计归属于上市公司股东的净利润较去年同期有所下降,主要原因为:1、新产品业务扩展和新客户的开拓,销售费用增加;2、市场竞争激烈,造成公司产品的销售及盈利情况未达到预期。综上原因,导致本报告期净利润较上年同期有所降低。","略减	","6549万	","2019-01-29	"
200028,天津普林,2134,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:6,300万元至7,100万元,同比上年增长:39.4%至57.1%。	","6300万～7100万	","39.4%	～57.1%		","1、公司2019年前三季度业绩增长主要系2019年6-8月出售所持有的北京北陆药业股份有限公司股票454万股取得投资收益影响净利润约2,834万元,去年同期未出售,此项影响公司非经常性损益增加2,834万元所致;2、公司主营油漆涂料业务经营正常。","预增	","4519万	","2019-08-21	"
200029,渝三峡Ａ,565,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:6,282.2万元至7,390.82万元,同比上年增长:70%至100%。	","6282万～7391万	","70%	～100%		","1、报告期内,公司按照既定发展战略和经营目标有序开展各项经营计划,各板块业务继续保持了上半年以来的良好增长态势,实现整体营业收入和盈利水平稳健增长;子公司运营良好,销售收入较上年同期大幅增长,对净利润产生了积极的影响,最终实现了归属于上市公司股东的净利润稳步增长。2、上游原材料价格有所下降,公司产品结构进一步优化,毛利率上升,净利润同比增加。3、报告期内,东莞市航盛新能源材料有限公司自2019年1月份并表。4、2019年前三季度预计非经常性损益对归属于上市公司股东的净利润影响金额为1500万元到1600万元之间,主要是债务重组利得和政府补助收入。","预增	","3695万	","2019-10-15	"
200030,明德生物,2932,normal,企业,"预计2019年1-6月归属于上市公司股东的净利润盈利:1,800万元至2,000万元,同比上年增长:1.45%至12.72%。	","1800万～2000万	","1.45%	～12.72%		","归属上市公司股东的净利润同比增长的主要原因是:2019年上半年度销售收入较上年同期增长16%,期间费用较上年同期增长9%。","略增	","1774万	","2019-07-13	"
200031,广信材料,300537,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:6,942.268626万元-7,934.021287万元,比上年同期增长:5.00%-20.00%	","6942万～7934万	","5%	～20%		",主要系公司业务增长、理财产品收益及政府补助的影响。,"略增	","6612万	","2018-10-25	"
200032,伊戈尔,2922,normal,企业,"预计2019年1-6月归属于上市公司股东的净利润盈利:9,448.72万元至11,248.72万元,同比上年增长:103%至142%。	","9449万～1.12亿	","103%	～142%		","(一)主营业务影响报告期内,公司营收规模及盈利能力均有所提升,并对全资子公司深圳市君天恒讯科技有限公司(以下简称“君天恒讯”,属于非同一控制下合并,2018年8月起纳入合并报表范围)进行有效管理,君天恒讯净利润同比增长约30%;控股子公司江苏博敏电子有限公司同比成功扭亏,2019年第一、二季度均实现盈利。(二)非经常性损益的影响公司2019年上半年非经常性损益预计为972万元,主要系计入当期损益的政府补助金额约1,000万元。","预增	","4649万	","2019-07-23	"
200033,博敏电子,603936,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:6,000万元-8,500万元,比上年同期上升:10.51%-56.56%。	","6000万～8500万	","10.51%	～56.56%		","1、持续稳定大客户订单,继续拓展国内外市场,使公司订单保持继续稳中有长;2、继续加强内部管控力度,克服人工成本上涨压力,提升销售毛利率。","预增	","5429万	","2019-08-23	"
200034,新天药业,2873,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:7,500万元-8,500万元,同比增长459.93%-534.59%。	","7500万～8500万	","459.93%	～534.59%		","公司在2018年12月份将天津美杰姆教育科技有限公司纳入合并报表范围,该子公司为上市公司的重要业务板块,将成为公司的重要利润来源。因此预计2019年1-9月归属于上市公司股东的净利润将比上年同期大幅增长。","预增	","1339万	","2019-08-29	"
200035,三垒股份,2621,normal,企业,"预计2017年1-3月归属于上市公司股东的净利润盈利:4,800万元-5,280万元,比上年同期增长0%-10%	","4800万～5280万	","0%	～10%		","发行人所处行业不具备较强的周期性特征。财务报告审计截止日(2016年12月31日)至本招股意向书签署之日期间,公司经营情况正常,发行人经营模式,主要原材料的采购规模及采购价格,主要产品的生产、销售规模及销售价格,主要客户及供应商的构成,税收政策等均未发生重大变化,亦未发生其他可能影响投资者判断的重大事项。","略增	","4867万	","2017-04-06	"
200036,通产丽星,2243,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:2,791.1万元-4,059.78万元,比上年同期增长:10.00%-60.00%。	","2791万～4060万	","10%	～60%		","预计2018年,公司订单量有所增加,整体业绩有一定上升。","预增	","2537万	","2018-10-25	"
200037,丹邦科技,2618,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利13,050.08万元左右,同比增长56.20%左右	","1.31亿	","56.2%		","(一)主营业务的影响1.报告期内,公司优化经营结构、强化内部管理体系,增加收入、提高效率,增加企业竞争力。2.报告期内,公司并购了天津至远企业管理顾问有限公司,增加收入及净利润。(二)非经营性损益的影响本期非经常性损益金额为-534.18万元左右,主要为报告期内非流动性资产处置损益以及政府补助及税收返还。(三)会计处理的影响本期合并范围增加天津至远企业管理顾问有限公司,增加公司本年度净利润。","预增	","8355万	","2019-02-01	"
200038,世运电路,603920,normal,企业,"预计2017年1-3月归属于上市公司股东的净利润526.67万元-647.06万元,较去年同期增长1.22%-24.36%	","527万～647万	","1.22%	～24.36%		",-,"略增	","520万	","2017-02-13	"
200039,海量数据,603138,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润盈利:10,466.88万元-14,205.05万元,同比上年上升:40%-90%。	","1.05亿～1.42亿	","40%	～90%		","2019年公司各业务版块业绩稳步增长;同时根据《企业会计准则》、《深圳证券交易所中小板上市公司规范运作指引》等相关规定的要求,基于谨慎性原则,公司对可能发生减值的相关资产计提资产减值准备。","预增	","7476万	","2019-10-24	"
200040,密尔克卫,603713,normal,企业,"预计2017年1-12月归属于上市公司股东的净利润盈利11,000万元-12,000万元,同比增长41.55%-54.41%。	","1.10亿～1.20亿	","41.55%	～54.41%		","1、公司积极落实2017年度经营计划目标,在分布式光伏开发及服务业务保持基本稳定的基础上,根据公司业务发展战略,不断加大自持分布式光伏电站,发电收入大幅增长。
2、由于公司2016年度实施股权激励计划以及研发费用增长使当年管理费用金额较高。2017年股份支付金额下降且随着研发技术的投入使用,研发费用降低,使预计净利润增长。","预增	","7771万	","2018-02-05	"
200041,旷达科技,2516,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:7,417.95万元至7,917.95万元。	","-7918万～-7418万	","-101.93%	～-89.18%		","1、报告期内,子公司承接的工程项目尚未通过验收,无法确认收入,导致出现经营亏损。2、报告期内,公司全资子公司珀挺机械工业(厦门)有限公司承接的部分重要工程项目尚未通过验收,无法确认收入,导致前三季度出现经营亏损,公司对其计提商誉减值1.04亿元。3、报告期内,公司收回齐星项目货款,冲回前期计提的单项坏账准备,产生大额非经常性损益,预计非经常性损益对公司净利润影响额约为5,002万元。","增亏	","-3921万	","2019-10-14	"
200042,芯能科技,603105,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:4,800万元-6,800万元,比上年同期下降:27.10%-48.54%。	","4800万～6800万	","-48.54%	～-27.1%		",公司主要原材料马口铁采购价格大幅上涨导致主营业务成本增加。,"略减	","9328万	","2019-01-28	"
200043,华源控股,2787,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:23,084.94万元-34,627.41万元,比上年同期下降:10%-40%	","2.31亿～3.46亿	","-40%	～-10%		","1、因2017年第四季度公司出售大部分光伏电站,公司2018年光伏发电收入同比大幅减少;同时,公司2017年四季度因出售电站形成一次性处置收益,预计2018年四季度同比利润相应减少。2、2018年国内汽车销售增速持续放缓,受其影响,预计公司汽车饰件业务收入同比下降。","略减	","3.85亿	","2018-10-23	"
200044,三维丝,300056,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:10,000万元至14,500万元,同比上年增长:139%至156%。	","1.00亿～1.45亿	","139%	～156%		","本期预计业绩变动原因主要为(1)2019年公司积极开拓市场,国内、国际市场批量优质订单拉动,整体盈利能力同比提升;(2)2019年公司优化产能、整合资源,严控各项费用,降低固定成本;(3)通过转让所持有的扬州江淮宏运客车有限公司100%股权,获得投资收益。","扭亏	","-2.58亿	","2019-10-15	"
200045,德尔未来,2631,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:2,200万元-2,800万元。	","2200万～2800万	","125.41%	～132.34%		","公司2018年度业绩预盈主要由于公司出售湘财证券股权和收到政府拆迁补偿等非经常性损益事项所致,上述事项合计产生收益约9,300万元。","扭亏	","-8657万	","2019-01-30	"
200046,超华科技,2288,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:9,100万元至9,600万元。	","9100万～9600万	","134.81%	～136.72%		","雄安科融环境科技股份有限公司2019年1-9月归属于上市公司股东的净利润较上年同期实现扭亏为盈,主要原因为:1.报告期内,公司处置子公司增加本期投资收益9,680.00万元;2.公司经营情况平稳向好,各项业务有序开展,并持续拓展新地区订单。报告期内,公司非经常性损益对净利润的影响金额预计为9,178.00万元。","扭亏	","-2.61亿	","2019-10-10	"
200047,安凯客车,868,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:9,420.88万元-13,703.1万元,比上年同期增长:10.00%-60.00%。	","9421万～1.37亿	","10%	～60%		",预计2018年度整体业绩受以下因素影响:1、主业经营业绩较为平稳;2、股权激励费用摊销增加;3、商誉减值的不确定性。,"预增	","8564万	","2018-10-27	"
200048,华升股份,600156,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:4,000万元至5,500万元,同比上年增长:512.37%至742.01%。	","4000万～5500万	","512.37%	～742.01%		","因本司“南油工业区福华厂区”城市更新项目于6月份正式启动,本期确认拆迁补偿收入2亿元,净利润约9,300万元。","预增	","653万	","2019-10-15	"
200049,科融环境,300152,normal,企业,"预计2019年1-3月归属于上市公司股东的净利润盈利:150万元-200万元,比上年同期下降:87.00%-90.25%。	","150万～200万	","-90.25%	～-87%		","2019年第一季度业绩变动的主要原因是相较去年同期政府补助减少;同时受宏观经济及行业波动等因素影响,部分产品销售毛利率下降,导致2019年归属于上市公司股东的净利润比去年同期下降。","预减	","1539万	","2019-03-30	"
200050,世纪星源,5,normal,企业,"预计2016年1-12月归属于上市公司股东的净利润与上年同期相比将增加60%左右	","4.72亿	","60%		","(一)2016年度公司下属子公司乌镇旅游股份有限公司、北京古北水镇旅游有限公司经营情况良好,净利润均有较大增幅;(二)公司控股子公司乌镇旅游股份有限公司2016年度获得政府补贴金额较去年同期有较大增幅。","预增	","2.95亿	","2017-01-18	"
200051,中青旅,600138,normal,企业,"预计2019年1-6月归属于上市公司股东的净利润盈利:4,334.18万元至5,489.96万元,同比上年增长:50%至90%。	","4334万～5490万	","50%	～90%		","报告期内,公司紧紧围绕发展战略及年度经营目标,继续以科技创新为驱动,实施“高端定位,精品战略”方针,坚持大客户战略,优化业务布局,调整产品结构,经营状况及盈利能力进一步提升。","预增	","2889万	","2019-07-12	"
200052,如意集团,2193,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:11,600万元至13,000万元,同比上年增长:30.05%至45.75%。	","1.16亿～1.30亿	","30.05%	～45.75%		","报告期内,归属于上市公司股东的净利润与去年同期相比同向上升,主要原因:公司按照经营计划有序地开展各项业务,公司主营业务继续保持稳步增长。预计2019年前三季度非经常性损益对归属于上市公司股东的净利润影响金额约为620万元。","略增	","8920万	","2019-10-15	"
200053,五洋停车,300420,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:65,000万元至82,000万元。	","6.50亿～8.20亿	","917.87%	～1131.77%		","1、2019年9月,深圳市远望谷信息技术股份有限公司(以下简称“公司”)高管成世毅先生因个人原因辞去河南思维自动化设备股份有限公司(证券代码:603508,以下简称“思维列控”)非独立董事职务,不再担任思维列控任何职务,公司不再对思维列控具有重大影响。截止2019年9月30日,公司持有思维列控8.37%股权,根据金融工具确认和计量的规定,公司将该项权益工具投资指定为以公允价值计量且其变动计入当期损益的金融资产。因该项权益工具投资确认和计量的核算方式变化,造成本次业绩变动,影响金额约人民币6亿元;2、公司持有的思维列控股权在转换为以公允价值计量且其变动计入当期损益的金融资产前按持股比例计算享有的投资收益,以及出售部分思维列控股票产生的投资收益;3、报告期内,公司整体经营平稳,营业收入较上年同期增长。","扭亏	","-7947万	","2019-10-15	"
200054,远 望 谷,2161,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:7,646.15万元-9,036.35万元,比上年同期增长:10.00%-30.00%	","7646万～9036万	","10%	～30%		","公司2018年1-9月业绩增加,继而影响全年业绩;公司在水处理和环保行业战略推进,并取得了较好的表现,特别是水处理订单增加较大。","略增	","6951万	","2018-10-25	"
200055,华电国际,600027,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利:41,902.87万元-54,473.73万元,比上年同期增长:0.00%-30.00%。	","4.19亿～5.45亿	","0%	～30%		",-,"略增	","4.19亿	","2018-10-27	"
200056,山东章鼓,2598,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:8,123万元至14,621万元,同比上年下降:55%至75%。	","8123万～1.46亿	","-75%	～-55%		","公司2019年前三季度业绩下滑的主要原因具体如下:1、公司非经常性损益较上年同期相比大幅下降,影响归母净利润下降差额的比例较大;2、军工板块因军代表体制调整,导致部分业务合同签订滞后,致使收入确认延后。公司预计2019年前三季度非经常性损益对净利润的影响金额约为4,000万元左右。","预减	","3.25亿	","2019-10-14	"
200057,石基信息,2153,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润盈利:2,500万元-4,800万元。	","2500万～4800万	","137.75%	～172.49%		",报告期内确认出售两家子公司铭德铝业和铭镌精密100%股权损益所致。,"扭亏	","-6622万	","2019-08-23	"
200058,新研股份,300159,normal,企业,"预计2019年1-12月归属于上市公司股东的净利润盈利:26,598万元-36,270万元,同比上年上升:10%-50%。	","2.66亿～3.63亿	","10%	～50%		","膜业务较为稳定,无人机业绩稳步提升。","略增	","2.42亿	","2019-10-24	"
200059,罗普斯金,2333,normal,企业,"预计2019年1-9月归属于上市公司股东的净利润亏损:2,641.57万元至3,522.1万元。	","-3522万～-2642万	","-141.89%	～-131.42%		","2019年前三季度公司亏损的主要原因是融资成本同比大幅上升;公司石岩厂区因搬迁,生产量暂未能满足需求;投资收益同比下降。","首亏	","8409万	","2019-10-15	"
200060,南洋科技,2389,normal,企业,"预计2018年1-12月归属于上市公司股东的净利润盈利16,023.67万元-17,123.67万元,同比上期增长40%到50%。	","1.60亿～1.71亿	","40%	～50%		","(一)主营业务影响。公司主导产品兽用泰乐菌素本年度产量同比增幅较大,价格保持在高位运行。(二)公司“退城进园”项目投产后动力系统合并实现经济运行,动力成本同比降低。","略增	","1.14亿	","2019-01-16	"
